tx,ty,ttheta,error,dx,dy,dtheta
0.7794418,1.0858872,-0.3689054,0.27522472,0.0952577,-0.13088167,-0.22258617
0.5125742,0.024079656,-4.4204774,0.9193043,-0.28197193,-0.8662959,0.12305975
0.5929715,1.075703,-3.023762,0.5855102,0.14921454,0.5107016,-0.24441981
0.05538526,0.8181213,4.1590295,4.1867075,0.07785135,-0.607396,4.141682
0.18559287,0.55697155,-1.4229449,1.6661633,0.17506069,-0.8639761,-1.4138597
-0.13341224,0.8801068,4.156221,4.179048,-0.11122358,-0.54558516,4.141788
-0.08298561,0.33458337,-2.9782784,0.5188182,-0.23064482,-0.42143908,0.19586825
0.4428257,1.1023678,-4.4641995,0.33158097,-0.21352616,-0.2485795,0.050603867
-0.78019404,0.8024854,-4.001686,4.0239906,-0.87770486,-0.62366253,-3.8772643
0.5843955,0.41895178,-4.0277133,0.5318171,0.43709567,-0.2879837,0.094032764
0.7577468,0.22346781,-2.4347584,1.169852,0.79887915,-0.7577107,0.39524698
-0.6234959,0.15591158,-5.415688,0.5363827,-0.4608762,-0.24951018,0.11421108
-0.80028826,0.23576596,-5.0511312,0.75748074,-0.6714648,-0.32084915,0.14130783
0.16405886,0.91896456,-1.2030112,1.0241396,0.17642573,-0.5991927,-0.81160593
-0.327616,0.6811104,4.2412057,4.322691,-0.3313237,-0.73544633,4.246763
0.6320369,0.05869133,-3.602168,0.96115345,0.19910082,-0.9079951,0.24437618
-0.47385922,0.3366732,0.8056223,0.50949466,-0.04364592,-0.2640993,0.43351054
-0.15072763,0.06649306,-1.4293904,1.9780831,-0.15430057,-1.3599646,-1.4281107
0.042755306,0.13725705,3.7713273,3.9930165,0.03820113,-1.2949187,3.7770236
-0.8064686,1.2485365,-4.5339236,0.97637784,-0.925349,0.29977834,-0.08471012
0.6184349,1.2185817,5.4238167,5.2045484,-0.3958887,-0.4585011,5.169175
0.5436466,1.0522946,1.6114478,1.5067819,0.3238441,-0.18116844,1.4603748
